Code,Country,Export-Total-2013 (1000USD),Import-Total-2013 (1000USD),Export-Total-2014 (1000USD),Import-Total-2014 (1000USD),Export-Total-2015 (1000USD),Import-Total-2015 (1000USD),Export-Total-2016 (1000USD),Import-Total-2016 (1000USD),Export-Total-2017 (1000USD),Import-Total-2017 (1000USD)
CUW,Curaçao,3898521.983,1851185.79,2566694.199,1714752.332,1576406.415,1129295.673,1432893.3,774048.714,1109732.111,577839.194
CXR,Christmas Island,26431.784,12770.729,30619.755,9957.761,30005.416,6928.142,17063.394,10392.849,15518.65,7168.474
CYM,Cayman Islands,1357.064,320360.755,26555.382,284059.787,107924.262,282537.956,72650.095,331053.226,15659.411,482826.437
CYP,Cyprus,2996354.206,4588542.833,1370499.119,3459749.415,1841391.141,2239785.377,1201985.124,2088432.353,1684883.363,2974720.581
CZE,Czechia,18645307.58,33190750.24,18478326.34,31722237.33,15917485.83,26121214.62,14233608.63,23299625.99,15846887.21,27846174.38
DEU,Germany,186154986.6,363551403.1,175587800.1,337717478.2,146811972.8,261055560.2,134885513.8,220879425.5,154339050.5,261008145.6
DJI,Djibouti,127519.535,1110590.197,124029.717,1339173.519,63337.962,1498376.19,58632.992,1245498.959,40442.489,1128579.241
DMA,Dominica,25458.066,79438.763,43130.603,71884.649,54228.669,47568.343,12121.652,34243.193,10133.993,129353.313
DNK,Denmark,30569459.4,25901028.04,27841350.33,24552775.4,22413350.54,19227029.98,20957227.11,17336103.93,23947913.71,20190463.74
DOM,Dominican Republic,3627147.927,8169353.348,4648166.715,7589414.256,3128598.435,5854021.77,3329918.402,5315686.912,3263339.154,6331000.716
DZA,Algeria,72578980.94,19071322.28,65427637.58,19165473.39,39389398.13,15958007.91,32239046.37,13430911.53,38293029.4,13627074.11
ECU,Ecuador,24512183.43,10492901.71,25478500.95,9952967.26,17755009.5,6979695.298,15461138.29,5371528.867,18475769.58,6646607.919
EGY,Egypt,23915083.07,33542755.11,19555678.37,40838382.94,15357892.69,35699390.42,15986789.04,27568792.23,17547238.66,34150599.73
ERI,Eritrea,311614.708,95250.873,573408.657,87266.019,436716.487,65203.028,369665.118,96975.656,287707.62,129221.711
ESH,Western Sahara,588.837,,3972.624,4068.834,410.949,308.738,8482.086,1401.116,87.164,76644.898
ESP,Spain,87260119.24,128807335.9,89653631.89,128008101.3,71855390.77,91540473.37,69936119.02,81955341.65,82763417.6,101629775.2
EST,Estonia,5008495.747,6972012.97,5988779.819,6747914.794,3722848.215,4697769.679,3522018.901,4285109.398,4399670.714,5261051.422
ETH,Ethiopia,3607192.27,4729876.014,4205542.393,7133992.922,4067998.457,6913888.862,2222733.874,5240818.845,1910215.072,1219145.171
FIN,Finland,28089199.21,31276789.31,27318908.15,28287716.57,19594323.29,17348730.48,19526739.2,16035185.93,23153898.7,19087329.57
FJI,Fiji,591880.9803,1199728.169,703296.4338,1400247.895,583825.3197,903463.4848,562975.0892,829138.9129,634347.7213,981167.7239
FLK,Falkland Islands (Malvinas),185884.609,55447.17,200257.579,70611.589,190355.443,47167.883,254885.994,22438.804,207769.811,25947.11
FRA,France,107922397.3,196134263.4,101500457.6,173863996.9,81762446.02,133022723.8,75737069.97,117904138.1,84553226.39,137636173
FRO,Faroe Islands,1262247.166,331427.712,1284836.83,276758.023,1166481.227,222232.635,1349479.755,155704.764,1462598.756,284921.891
FSM,"Micronesia, Federated States of",61141.305,101539.7504,33447.652,88969.986,20807.308,78257.071,59594.522,67471.677,28933.938,70453.198
GAB,Gabon,10617576.46,832372.899,10469541.4,731135.895,5949610.862,548174.168,3963706.211,428061.557,5170025.733,466103.525
GBR,United Kingdom,161911549.3,188734326.3,126518973.3,169156750.6,85523958.09,135732184.2,74429998.59,137874280.3,88131711.66,148326057
GEO,Georgia,1737115.065,3505239.817,1838861.388,3391205.407,1531190.104,2739911.105,1296319.007,2462630.475,1577457.576,2754426.143
GGY,Guernsey,,,,,,,,,,
GHA,Ghana,11355666.11,5050975.43,12317832.87,5724858.509,10927701.83,3683005.866,11928777.84,3439235.81,10194048.4,4059372.071
GIB,Gibraltar,455282.985,16173541.53,800871.645,11994176.55,322922.097,7476916.7,134038.535,6920219.209,45570.401,6738531.048
GIN,Guinea,2236642.515,1629610.453,2948379.645,1652844.509,2031260.312,1088458.504,3348071.528,1058516.344,3040551.526,1089182.744
GLP,Guadeloupe,,,,,,,,,,
GMB,Gambia,124838.1721,370575.0352,105317.7901,402512.2973,121009.666,292621.903,158232.9438,365497.6438,173638.274,370075.774
GNB,Guinea-Bissau,280372.581,163581.955,260438.652,209473.865,276171.389,120422.66,312390.121,111707.123,271008.243,159877.765
GNQ,Equatorial Guinea,13879450.54,528202.411,12431059.28,479685.241,6337692.528,299466.406,4315482.653,169477.308,4836597.535,180471.479
GRC,Greece,23374090.03,31167805.27,22079340.83,28930705.27,15650707.06,19502734.26,14812089.36,18754169.05,17976893.41,22963462.79
GRD,Grenada,40281.932,94258.455,26969.993,101579.13,30396.465,68593.465,27358.892,50497.767,25338.513,53311.292
GRL,Greenland,625445.5913,312024.8374,696036.4404,310595.1277,661418.8768,184552.626,781400.2994,181983.2195,773460.145,188895.976
GTM,Guatemala,6790557.169,5976429.972,7276011.005,5803534.662,6836128.656,5311197.724,6664319.558,4976265.355,5911842.004,5296063.288
GUF,French Guiana,,,,,,,,,,
GUM,Guam,62118.191,550809.012,12308.013,796225.16,2593.91,407240.71,5546.167,366302.852,5615.299,410123.647
GUY,Guyana,1564377.597,1110280.989,1290319.218,880506.6992,1228119.35,527148.7091,1454117.583,567300.9635,1595338.115,645152.7393
HKG,Hong Kong,91359866.47,175500568.9,68206830.8,133034808.1,37920205.97,104937657.3,54530507.97,92556142.06,67303535.82,92500231.3
HMD,Heard and Mc Donald Islands,8536.151,324.35,470.873,15.451,4.417,135.643,3.263,,0.071,
HND,Honduras,3076563.808,3689025.696,3275576.486,4074669.366,3082201.419,3330380.475,3078626.753,2908770.931,3613180.422,3229501.713
HRV,Croatia,4243061.275,7914038.164,5597427.563,8104466.952,3631382.013,6686920.061,3554215.046,5832313.893,3306460.354,6047413.514
HTI,Haiti,86610.109,1225160.299,89103.954,1455801.969,66683.296,1146262.087,55063.008,1144387.631,44177.179,1389261.546
HUN,Hungary,14449922.21,22292301.33,13256096.91,21969344.19,11015539.3,15138633.99,9796250.692,13713273.57,12018632.13,16932492.31
IDN,Indonesia,126785068.9,83451606.18,114773449.1,81295030.44,92431315.24,54780701.07,83444593.59,50158072.95,102302349.5,63936369.26
IMN,Isle of Man,,,,,,,,,,
IND,India,162840246.4,307447829,144131847.4,298780204,105571224.6,224228793.1,101111653.2,190850823.3,132253167.3,249264625.1
IOT,British Indian Ocean Territory,4328.605,76734.041,1496.278,7080.024,5839.871,5884.848,1927.255,19539.141,2980.004,29726.406
IRL,Ireland,11997833.31,18161479.22,12773938.9,17368666.7,10727937.73,13314036.1,10159525.21,11307429.56,11812480.25,13121181.76
IRN,"Iran, Islamic Republic of",50253165.15,17183529.41,51384159.41,15179597.41,28987926.53,12235063.56,38157076.59,11455426.42,52001859.28,11561595.59
IRQ,Iraq,90249645.25,10263188,170843948.8,19548785.5,103716344.2,7611085.336,92974056.06,7072709.919,66804005.02,7480876.576
ISL,Iceland,4905096.339,1396467.766,4859601.132,1366579.533,4646709.07,1245597.028,4052712.76,1152367.929,4695642.178,1394190.762
ISR,Israel,22895751.86,32706840.05,28877416.62,33113529.06,21437772.59,21721597.05,20143532.05,21158293.09,16455786.14,24372915.74
ITA,Italy,84323621.23,203519741.4,79349312.61,193240143,65561093.07,147323285.5,62125385.76,125582731.1,72048457.76,153032443.4
JAM,Jamaica,745248.0051,3300545.485,545335.2223,2906414.347,507506.9221,1842472.18,418928.905,1668987.43,319404.0667,2112505.099
JEY,Jersey,,,,,,,,,,
JOR,Jordan,2955869.445,11641101.51,3730050.69,12061669.02,2941656.412,8952968.94,2384741.622,7600665.785,2634055.96,8039610.519
JPN,Japan,86297296.37,409712313.9,80287181.42,387533884.6,69315973.26,228865181.9,65304569.81,207269111.3,72702185.57,245807291.8
KAZ,Kazakstan,73364864.54,10839495.12,70156792.77,7727148.595,42555783.45,6010580.087,33117644.24,5462919.413,44452754.42,6831767.248
KEN,Kenya,3859103.936,7439107.424,4265768.228,7807461.874,3828688.927,5200493.765,3413206.346,4146381.493,4021715.942,7173672.802
KGZ,Kyrgyzstan,1268812.39,2421595.111,939832.26,2092400.117,983177.6913,1539968.384,964899.0282,1020884.234,1436247.656,1367534.441
KHM,Cambodia,1358880.68,3683181.701,1602890.849,3235019.782,1799445.995,3694701.484,3209233.657,3949941.698,1007244.625,1530297.184
KIR,Kiribati,85589.21652,56304.53785,82139.28223,79314.78277,126656.3153,60949.97505,139510.7609,55867.64658,52673.6,26851.069
KNA,Saint Kitts & Nevis,1413.612518,72560.28258,7773.274209,102036.1796,1420.645766,69126.24856,1975.786533,69156.29318,1935.270554,72054.43432
KOR,"Korea, Republic of",100983396,266411211,110190895.9,266486563,75132991.72,176645691.3,66694378.9,152442973.9,81447477.15,190965943.7
KWT,Kuwait,208450051.2,7644448.991,187960317.6,8238487.067,101439400,7244920.829,47175946.48,6417702.045,92362738.83,7137500.161
LAO,"Lao, People's Democratic Republic",2807556.703,1757533.191,3362472.965,1874513.204,2202119.048,1781913.831,2424015.25,1445947.423,1584095.223,244884.518
LBN,Lebanon,2300950.947,9823573.948,1663535.467,9807812.009,1043354.955,6261956.117,1626782.788,8143479.725,897553.451,6626547.443
LBR,Liberia,909453.033,1279357.255,789402.4,1064192.194,591617.391,822274.435,682030.721,616185.538,552266.839,919822.206
LBY,Libyan Arab Jamahiriya,42499792.02,8295817.85,20670080.8,6254732.156,10909429.85,3780047.092,9442085.068,3575108.86,17393190.47,3629784.632
LCA,Saint Lucia,129994.9814,767773.1349,185051.3607,2020482.6,85671.03335,1294782.443,103623.8089,845066.9409,53933.01,1514090.612
LIE,Liechtenstein,,,,,,,,,,
LKA,Sri Lanka,3437017.044,8374214.067,3663581.338,8774066.858,3237997.258,7243657.289,3054502.1,6764026.837,3509946.334,8460284.824
LSO,Lesotho,69970.485,600832.893,64931.047,568508.568,74197.706,440599.784,87474.117,427414.272,95266.664,559480.207
LTU,Lithuania,13992350.01,14335639.97,12964779.73,13497057.06,9749234.406,8937362.132,8903079.848,7771118.899,10624617.79,9826878.598
LUX,Luxembourg,6506133.875,9265383.318,6968631.48,8366269.263,5607876.954,5943935.47,5227192.749,5548769.77,5747506.136,6282778.11
LVA,Latvia,6354349.481,10214030.05,7023009.823,11280475.27,4965972.105,7448794.712,4781288.749,5732024.547,5181070.515,6265822.224
MAC,Macao,315203.839,1199173.175,141058.4044,1475555.39,173545.967,1504165.937,120243.4606,947647.6196,142184.548,1721975.385
MAF,Saint Martin,,,,,,,,,,
MAR,Morocco,11081562.73,19955455.32,10887259.28,19158887.64,10248266.12,13801264.41,9933040.118,13201297.22,8975351.992,12092568.81
MCO,Monaco,,,,,,,,,,
MDA,"Moldova, Republic of",1014399.852,1678746.58,1308324.777,1709040.625,1044384.772,1251779.126,1033547.967,1123803.686,1318627.087,1457004.035
MDG,Madagascar,1353809.144,1048731.396,1800580.925,1235860.122,1847961.654,1119977.796,1961738.465,965856.7328,2353381.989,1592067.175
MDV,Maldives,182985.9381,709026.4234,154762.3766,838119.3736,165863.3844,692890.0771,225550.5418,670634.9867,281503.234,353897.83
MEX,Mexico,90593853.68,75775628.87,84242786.51,78842060.24,60966867.4,67531996.26,58361650.68,66421789.07,66434049.16,78018277.37
MHL,Marshall Islands,211805.943,358138.067,153954.541,337911.155,100433.406,426884.858,107393.032,294923.298,51164.598,411890.889
MKD,"Macedonia, The Former Yugoslav Republic Of",1516370.894,2776865.453,1471993.887,3022462.99,1314588.33,2585531.024,1064958.126,2641783.579,1196600.767,2935764.196
MLI,Mali,2987949,965597.898,3206476.926,1077569.294,3510111.381,853332.728,4408112.901,1781338.658,2118412.433,1902120.326
MLT,Malta,3473372.117,6052267.76,2878696.015,5987643.044,2396116.962,4895258.894,1746809.881,3842110.663,1243408.461,5219649.044
MMR,Myanmar,9683118.405,4642832.524,11255747.74,6709183.226,13057400.71,5300853.399,11795136.7,6219944.293,8468406.514,6707386.728
MNE,Montenegro,346271.5664,786535.6021,405332.7715,861752.0116,267563.0545,654406.6893,280585.6096,655605.9412,343138.734,788424.5398
MNG,Mongolia,4502525.656,2019619.365,5813543.014,1759745.151,4587128.592,1223919.548,4714310.948,923273.557,5940117.628,1261862.288
MNP,Northern Mariana Islands,652.108,10992.659,413.052,37700.546,253.05,71634.962,666.928,30464.796,1493.852,29437.885
MOZ,Mozambique,6610287.318,5620478.926,7420553.119,4682197.349,5114358.762,2843277.346,4239681.653,3290574.418,6371809.616,2478908.983
MRT,Mauritania,4417450.392,1822090.767,3369287.921,1745841.7,2045787.244,875672.695,2709078.307,1104748.329,2708773.387,1511435.048
MSR,Montserrat,1362.527118,24279.71504,1974.704385,17673.9542,899.96,4051.019,814.081,13323.407,1248.318,4423.564
MTQ,Martinique,,,,,,,,,,
MUS,Mauritius,848356.5331,2566712.771,807204.5954,2759728.591,1078477.631,1997589.888,711998.7305,1817187.644,874673.1473,2215349.803
MWI,Malawi,1247483.008,1171915.332,1281933.594,962802.6027,1161545.893,779999.406,956845.892,174564.411,854862.905,234592.547
MYS,Malaysia,98754563.93,78851697.82,96244500.63,78671690.71,71125867.52,57145366.74,61177880.33,49325354.04,72494336.48,61007472.87
MYT,Mayotte,18902.36,80189.233,,,,,,,,
NAM,Namibia,4471694.017,2556107.575,4734646.101,2044572.692,3883628.853,2749041.665,3368417.386,2291144.5,3756460.496,2211054.128
NCL,New Caledonia,1264830.076,1158145.237,1641674.572,1208394.527,1396698.442,918803.7154,1297310.589,586363.026,1445667.493,650830.116
NER,Niger,703884.5581,571466.9501,753029.2749,1631757.731,761560.6401,612432.1741,841147.2682,494788.8116,267337.566,219406.148
NFK,Norfolk Island,621.683,5484.527,552.71,5992.972,723.681,5024.177,331.98,3663.422,421.191,24174.456
NGA,Nigeria,104141377.3,18090877.31,105406832,17504251.29,52402849.38,11702843.05,36542191.93,14098929.34,46128050.3,13867044.48
NIC,Nicaragua,2721222.252,2083216.002,2789173.535,1977975.2,2530855.365,1725912.105,2390954.625,1603767.4,2660621.517,1774598.981
NIU,Niue,177.344,6572.755,763.357,4643.327,463.068,4199.244,349.616,4283.383,176.858,3890.455
NLD,Netherlands,232512472.6,248689187.4,210317911.4,247359601.4,151308342,165499566.9,135936199.7,140080261.4,163096059.9,161770414.8
NOR,Norway,127659612.9,18231027.31,126040611,16851668.77,88811937.09,13372357.85,70801187.02,12389987.71,87860344.9,14615512.42
NPL,Nepal,265617.792,3727616.857,307797.2963,3955343.375,234860.9461,2879026.202,216572.3736,3637070.936,249742.892,4496252.417
NRU,Nauru,62829.115,14037.225,26592.456,18826.68,20661.322,18310.095,16445.352,10105.269,20371.658,10286.244
NZL,New Zealand,29152293.29,10675829.74,31297353.1,11043598.52,25270581.55,7525661.863,24317428.6,6524093.313,27028892.48,7609362.377
OMN,Oman,48796090.13,13216467.28,48555916.72,9591755.368,29180867.91,9910358.373,23964162.27,8345712.22,45505709.08,9612318.37
PAK,Pakistan,11057293.4,22224559.23,10493464.41,24715109.02,8782133.09,19669975.93,7277895.513,18231677.06,7392752.588,26980684.7
PAN,Panama,2750819.912,11384718.63,2621639.691,14846919.84,2282713.966,8367487.113,1616738.927,6426226.896,2178072.748,9490167.377
PCN,Pitcairn,145.322,70.178,20.968,214.179,599.336,29.014,379.796,66.41,134.637,479.028
PER,Peru,40101480.37,13878642.07,35804280.5,12889584.35,30251018.59,10475789.61,33337025.51,9583158.957,42006602.85,12118634.32
PHL,Philippines,14137544.34,30330863.01,15066394.59,29285273.29,12220017.03,23574927.55,11417302.71,26295844.25,13563630.29,31231688.89
PLW,Palau,15488.511,79748.55027,14570.97649,92952.22031,7798.946396,57738.75773,12079.57256,53300.8155,15005.50762,55257.20438
PNG,Papua New Guinea,6150253.009,2057761.406,9261133.621,1832883.893,9118041.304,1255743.774,8212418.793,1155314.546,9067470.904,860628.085
POL,Poland,43083129.86,59859982.57,42109651.27,58727172.29,35340550.9,45898047.58,32536876.09,44222024.58,38166353.17,52825238.82
PRI,Puerto Rico,,,,,,,,,,
PRK,"Korea, Democratic People's Republic of",2493929.096,1743805.637,2136988.676,1108449.172,1815610.626,944681.772,1924277.701,791569.816,1017394.309,840386.795
PRT,Portugal,16762097.49,31440279.44,15745793.32,30435462.42,13184371.26,22816885.6,11886264.19,21148675.64,13956288.06,25826337.81
PRY,Paraguay,6852135.632,2897355.644,7080589.183,2819784.605,5649807.001,2160862.78,5990536.857,1912475.18,5904794.008,2231671.684
PSE,"Palestinian Territory, Occupied",407184.8576,2345151.01,426134.5733,2445879.102,459537.4171,1857300.273,432503.2148,1870685.466,61344.552,237081.138
PYF,French Polynesia,164643.8069,631227.4911,180402.4136,625409.997,142618.9241,435490.7759,129510.589,324504.069,134463.505,377402.195
QAT,Qatar,135782638.3,4940303.695,132109594.4,6128610.155,75587368.85,6198818.577,55998462.69,5560605.691,52435994.99,3399541.183
REU,Reunion,,,,,,,,,,
ROU,Romania,16306400.55,18472689.34,17620280.5,19058069.74,13038715.5,15476531.85,12420135.16,15346573.95,14020084,18136508.18
RUS,Russia Federation,516390690.4,53625521.3,475769731.4,48113614.85,321487401.4,32084615.42,233294217.7,28696079.56,337946777.2,34695162.13
RWA,Rwanda,765784.3774,611641.3439,719255.3083,491167.8131,592204.3377,495153.7418,574326.2586,443967.4173,203107.956,327212.052
SAU,Saudi Arabia,554132168,48602806.13,580417702.2,44963443.94,247087820.8,37480399.23,274211624.1,27475320.89,149036315.3,20793784.18
SDN,Sudan,5964185.76,2520038.291,5486644.528,2208578.616,3801095.997,2739415.99,3584217.244,1899936.503,4575003.526,3939861.346
SEN,Senegal,2126046.944,4420011.422,2232966.178,4238323.572,2003890.37,3161380.363,2253356.164,3076784.906,2550444.779,3835388.776
SGP,Singapore,81698586.61,140577042.7,81911867.8,143068478.8,58400522.9,89438534.48,51128429.46,77473151.22,59889930.5,99992227.64
SGS,South Georgia & The South Sandwich Islands,354.55,257.148,35.107,21.34,5740.757,15.205,27.898,,,
SHN,Saint Helena,12681.899,38566.402,12200.409,19815.745,19752.107,18613.229,21904.851,10770.254,13494.688,8802.069
SJM,Svalbard and Jan Mayen,,,,,,,,,,
SLB,Solomon Islands,870700.6027,262379.9221,629547.7974,200995.3621,501156.5455,177988.4623,498350.2468,186698.6146,642448.6108,205686.0073
SLE,Sierra Leone,1664524.556,365599.247,2171856.425,339263.9813,401867.3417,322432.5721,504410.9211,378493.7248,683852.9752,483480.3387
SLV,El Salvador,1230567.24,3774405.653,974189.012,3551506.193,1004567.97,3068486.818,950433.6915,2758072.984,1109841.839,3048315.025
SMR,San Marino,7795.98,106869.03,6675.102,95079.991,11477.456,79274.846,11385.996,61925.469,11530.063,69830.229
SOM,Somalia,618761.418,1403685.883,629893.975,1419225,666555.59,1435896.727,604908.961,961189.63,193275.703,983953.839
SPM,Saint Pierre and Miquelon,4151.334,11971.671,2366.266,20087.114,2186.29,6874.467,3381.185,17752.741,2352.07,12840.615
SRB,Republic of Serbia,4371745.667,6595803.212,4597289.883,6239284.888,4187995.475,5299130.208,4039238.459,4906743.319,5006153.088,6312805.555
SSD,South Sudan,2470440.653,127684.508,4398263.199,223691.491,2336472.056,205802.392,1474138.313,144735.914,1335178.621,206345.171
STP,Sao Tome and Principe,8098.239047,110397.081,12711.03215,119878.1997,11421.49157,57909.34395,20493.43237,34827.35752,13138.89094,38098.05698
SUR,Suriname,1887925.058,842050.7012,1742259.685,666487.4738,1175839.617,269798.856,1387719.814,425083.5022,2067101.834,328756.3347
SVK,Slovakia,14897566.17,21852454.34,13681676.45,19083277.43,10851073.43,14654973.67,10325854.76,12910399.77,13024027.72,16204372.57
SVN,Slovenia,5653625.728,9950842.798,5651659.685,10016998.15,4792414.848,8105921.714,4570251.448,7756973.74,5058909.936,8691973.496
SWE,Sweden,41132466.83,42549787.81,41470421.56,41436259.26,32145333.94,30259705.01,30177932.01,29345118.34,35674317.37,34417883.34
SWZ,Swaziland,800060.185,570474.313,779173.34,686551.555,525111.007,483713.894,493691.648,374077.334,520124.924,432557.947
SXM,Sint Maarten,3565.467,231341.91,2027.901,124029.989,12167.705,94893.812,1261.099,60626.527,1677.772,66232.641
SYC,Seychelles,328850.9053,503368.0923,386817.8454,528368.6653,328000.8588,467675.3939,357870.0526,470443.1011,266667.711,407361.7532
SYR,Syrian Arab Republic,951167.534,2796286.162,761265.723,2338002.186,497469.518,1627677.32,599732.627,1346850.567,406190.95,1274430.984
TCA,Turks and Caicos Islands,15049.626,61660.428,11657.913,81787.764,25104.066,66459.85,12873.591,62851.693,2795.166,63548.249
TCD,Chad,3176621.823,141160.066,3167505.083,144496.678,2364178.696,135403.708,1657082.236,118898.509,1167919.553,103406.129
TGO,Togo,2092557.194,4078888.392,1958144.752,5311411.536,1520592.594,3559299.537,1550764.065,2774476.441,1354050.579,4025754.919
